,diagnosis_type,diagnosis_code
2298, Mixed conductive and sensorineural deafness,89.2
2299," Deaf mutism, not elsewhere classified",89.7
2300, Other specified forms of deafness,89.8
2301, Unspecified deafness,89.9
2302,Rheumatic fever without mention of heart involvement,90
2303,Rheumatic fever with heart involvement,91
2304, Acute rheumatic pericarditis,91.0
2305, Acute rheumatic endocarditis,91.1
2306, Acute rheumatic myocarditis,91.2
2307, Other acute rheumatic heart disease,91.8
2308," Acute rheumatic heart disease, unspecified",91.9
2309,Rheumatic chorea,92
2310, With heart involvement,92.0
2311, Without mention of heart involvement,92.9
2312,Chronic rheumatic pericarditis,93
2313,Diseases of mitral valve,94
2314, Mitral stenosis,94.0
2315, Rheumatic mitral insufficiency,94.1
2316, Mitral stenosis with insufficiency,94.2
2317, Other and unspecified,94.9
2318,Diseases of aortic valve,95
2319, Rheumatic aortic stenosis,95.0
2320, Rheumatic aortic insufficiency,95.1
2321, Rheumatic aortic stenosis with insufficiency,95.2
2322, Other and unspecified,95.9
2323,Diseases of mitral and aortic valves,96
2324,Diseases of other endocardial structures,97
2325, Diseases of tricuspid valve,97.0
2326, Rheumatic diseases of pulmonary valve,97.1
2327," Rheumatic diseases of endocardium, valve unspecified",97.9
2328,Other rheumatic heart disease,98
2329, Rheumatic myocarditis,98.0
2330, Other and unspecified,98.9
2331,Essential hypertension,01
2332, Specified as malignant,01.0
2333, Specified as benign,01.1
2334, Not specified as malignant or benign,01.9
2335,Hypertensive heart disease,02
2336, Specified as malignant,02.0
2337, Specified as benign,02.1
2338, Not specified as malignant or benign,02.9
2339,Hypertensive renal disease,03
2340, Specified as malignant,03.0
2341, Specified as benign,03.1
2342, Not specified as malignant or benign,03.9
2343,Hypertensive heart and renal disease,04
2344, Specified as malignant,04.0
2345, Specified as benign,04.1
2346, Not specified as malignant or benign,04.9
2347,Other acute and subacute forms of ischemic heart disease,11
2348,Old myocardial infarction,12
2349,Angina pectoris,13
2350,Other forms of chronic ischemic heart disease,14
2351, Coronary atherosclerosis,14.0
2352, Aneurysm of heart,14.1
2353, Other,14.8
2354, Unspecified,14.9
2355,Acute pulmonary heart disease,15
2356, Acute cor pulmonale,15.0
2357, Pulmonary embolism,15.1
2358,Chronic pulmonary heart disease,16
2359, Primary pulmonary hypertension,16.0
2360, Kyphoscoliotic heart disease,16.1
2361, Other,16.8
2362," Pulmonary heart disease, unspecified",16.9
2363,Other diseases of pulmonary circulation,17
2364, Arteriovenous fistula of pulmonary vessels,17.0
2365, Aneurysm of pulmonary artery,17.1
2366, Other,17.8
2367, Unspecified,17.9
2368,Acute pericarditis,20
2369,Acute and subacute endocarditis,21
2370, Acute and subacute bacterial endocarditis,21.0
2371," Acute endocarditis, unspecified",21.9
2372,Acute myocarditis,22
2373,Other diseases of pericardium,23
2374, Hemopericardium,23.0
2375, Adhesive pericarditis,23.1
2376, Constrictive pericarditis,23.2
2377, Other,23.8
2378, Unspecified,23.9
2379,Other diseases of endocardium,24
2380, Mitral valve disorders,24.0
2381, Aortic valve disorders,24.1
2382," Tricuspid valve disorders, specified as nonrheumatic",24.2
2383, Pulmonary valve disorders,24.3
2384," Endocarditis, valve unspecified",24.9
2385,Cardiomyopathy,25
2386, Endomyocardial fibrosis,25.0
2387, Hypertrophic obstructive cardiomyopathy,25.1
2388, Obscure cardiomyopathy of Africa,25.2
2389, Endocardial fibroelastosis,25.3
2390, Other primary cardiomyopathies,25.4
2391, Alcoholic cardiomyopathy,25.5
2392," Secondary cardiomyopathy, unspecified",25.9
2393,Conduction disorders,26
2394," Atrioventricular block, complete",26.0
2395," Atrioventricular block, other and unspecified",26.1
2396, Left bundle branch hemiblock,26.2
2397, Other left bundle branch block,26.3
2398, Right bundle branch block,26.4
2399," Bundle branch block, unspecified",26.5
2400, Other heart block,26.6
2401, Anomalous atrioventricular excitation,26.7
2402, Other,26.8
2403, Unspecified,26.9
2404,Cardiac dysrhythmias,27
2405, Paroxysmal supraventricular tachycardia,27.0
2406, Paroxysmal ventricular tachycardia,27.1
2407," Paroxysmal tachycardia, unspecified",27.2
2408, Atrial fibrillation and flutter,27.3
2409, Ventricular fibrillation and flutter,27.4
2410, Cardiac arrest,27.5
2411, Premature beats,27.6
2412, Other,27.8
2413, Unspecified,27.9
2414,Heart failure,28
2415, Congestive heart failure,28.0
2416, Left heart failure,28.1
2417, Unspecified,28.9
2418,Ill-defined descriptions and complications of heart disease,29
2419," Myocarditis, unspecified",29.0
2420, Myocardial degeneration,29.1
2421," Cardiovascular disease, unspecified",29.2
2422, Cardiomegaly,29.3
2423, Rupture of chordae tendinae,29.5
2424, Rupture of papillary muscle,29.6
2425, Other,29.8
2426, Unspecified,29.9
2427,Subarachnoid hemorrhage,30
2428,Intracerebral hemorrhage,31
2429,Other and unspecified intracranial hemorrhage,32
2430, Nontraumatic extradural hemorrhage,32.0
2431, Subdural hemorrhage,32.1
2432, Unspecified intracranial hemorrhage,32.9
2433,Occlusion and stenosis of precerebral arteries,33
2434, Basilar artery,33.0
2435, Carotid artery,33.1
2436, Vertebral artery,33.2
2437, Multiple and bilateral,33.3
2438, Other,33.8
2439, Unspecified,33.9
2440,Occlusion of cerebral arteries,34
2441, Cerebral thrombosis,34.0
2442, Cerebral embolism,34.1
2443, Unspecified,34.9
2444,Transient cerebral ischemia,35
2445,Acute but ill-defined cerebrovascular disease,36
2446,Other and ill-defined cerebrovascular diseases,37
2447, Cerebral atherosclerosis,37.0
2448, Other generalized ischemic cerebrovascular disease,37.1
2449, Hypertensive encephalopathy,37.2
2450," Cerebral aneurysm, nonruptured",37.3
2451, Cerebral arteritis,37.4
2452, Moyamoya disease,37.5
2453, Nonpyogenic thrombosis of intracranial venous sinus,37.6
2454, Other,37.8
2455, Unspecified,37.9
2456,Late effects of cerebrovascular diseases,38
2457,Atherosclerosis,40
2458, Of aorta,40.0
2459, Of renal artery,40.1
2460, Of arteries of the extremities,40.2
2461, Of other specified arteries,40.8
2462, Generalized and unspecified,40.9
2463,Aortic aneurysm,41
2464," Dissecting aneurysm, any part",41.0
2465," Thoracic aneurysm, ruptured",41.1
2466, Thoracic aneurysm without mention of rupture,41.2
2467," Abdominal aneurysm, ruptured",41.3
2468, Abdominal aneurysm without mention of rupture,41.4
2469," Aortic aneurysm of unspecified site, ruptured",41.5
2470, Aortic aneurysm of unspecified site without mention of rupture,41.6
2471,Other aneurysm,42
2472, Of artery of upper extremity,42.0
2473, Of renal artery,42.1
2474, Of iliac artery,42.2
2475, Of artery of lower extremity,42.3
2476, Of other specified artery,42.8
2477, Of unspecified site,42.9
2478,Other peripheral vascular disease,43
2479, Raynaud's syndrome,43.0
2480, Thromboangiitis obliterans -Buerger's disease,43.1
2481, Other,43.8
2482, Unspecified,43.9
2483,Arterial embolism and thrombosis,44
2484, Of abdominal aorta,44.0
2485, Of other aorta,44.1
2486, Of arteries of the extremities,44.2
2487, Of other specified artery,44.8
2488, Of unspecified artery,44.9
2489,Polyarteritis nodosa and allied conditions,46
2490, Polyarteritis nodosa,46.0
2491, Acute febrile mucocutaneous lymphnode syndrome -MCLS,46.1
2492, Hypersensitivity angiitis,46.2
2493, Lethal midline granuloma,46.3
2494, Wegener's granulomatosis,46.4
2495, Giant cell arteritis,46.5
2496, Thrombotic microangiopathy,46.6
2497, Takayasu disease,46.7
2498,Other disorders of arteries and arterioles,47
2499," Arteriovenous fistula, acquired",47.0
2500, Stricture of artery,47.1
2501, Rupture of artery,47.2
2502, Hyperplasia of renal artery,47.3
2503, Celiac artery compression syndrome,47.4
2504, Necrosis of artery,47.5
2505," Arteritis, unspecified",47.6
2506, Other,47.8
2507, Unspecified,47.9
2508,Diseases of capillaries,48
2509, Hereditary hemorrhagic telangiectasia,48.0
2510," Nevus, non-neoplastic",48.1
2511, Other and unspecified,48.9
2512,Phlebitis and thrombophlebitis,51
2513, Of superficial vessels of lower extremities,51.0
2514, Of deep vessels of lower extremities,51.1
2515," Of lower extremities, unspecified",51.2
2516, Of other sites,51.8
2517, Of unspecified site,51.9
2518,Portal vein thrombosis,52
2519,Other venous embolism and thrombosis,53
2520, Budd-Chiari syndrome,53.0
2521, Thrombophlebitis migrans,53.1
2522, Of vena cava,53.2
2523, Of renal vein,53.3
2524, Of other specified veins,53.8
2525, Of unspecified site,53.9
2526,Varicose veins of lower extremities,54
2527, With ulcer,54.0
2528, With inflammation,54.1
2529, With ulcer and inflammation,54.2
2530, Without mention of ulcer or inflammation,54.9
2531,Hemorrhoids,55
2532, Internal hemorrhoids without mention of complication,55.0
2533, Internal thrombosed hemorrhoids,55.1
2534, Internal hemorrhoids with other complication,55.2
2535, External hemorrhoids without mention of complication,55.3
2536, External thrombosed hemorrhoids,55.4
2537, External hemorrhoids with other complication,55.5
2538, Unspecified hemorrhoids without mention of complication,55.6
2539, Unspecified thrombosed hemorrhoids,55.7
2540, Unspecified hemorrhoids with other complication,55.8
2541, Residual hemorrhoidal skin tags,55.9
2542,Varicose veins of other sites,56
2543, Esophageal varices with bleeding,56.0
2544, Esophageal varices without mention of bleeding,56.1
2545, Sublingual varices,56.3
2546, Scrotal varices,56.4
2547, Pelvic varices,56.5
2548, Vulval varices,56.6
2549, Other,56.8
2550,Noninfective disorders of lymphatic channels,57
2551, Other lymphedema,57.1
2552, Lymphangitis,57.2
2553, Other noninfective disorders of lymphatic channels,57.8
2554, Unspecified,57.9
2555,Hypotension,58
2556, Orthostatic hypotension,58.0
2557, Chronic hypotension,58.1
2558, Unspecified,58.9
2559,Other disorders of circulatory system,59
2560," Hemorrhage, unspecified",59.0
2561, Post-phlebitic syndrome,59.1
2562, Compression of vein,59.2
2563, Other,59.8
2564, Unspecified,59.9
2565,Acute nasopharyngitis -common cold,60
2566,Acute sinusitis,61
2567, Maxillary,61.0
2568, Frontal,61.1
2569, Ethmoidal,61.2
2570, Sphenoidal,61.3
2571, Other,61.8
2572, Unspecified,61.9
2573,Acute pharyngitis,62
2574,Acute tonsillitis,63
2575,Acute laryngitis and tracheitis,64
2576, Acute laryngitis,64.0
2577, Acute tracheitis,64.1
2578, Acute laryngotracheitis,64.2
2579, Acute epiglottitis,64.3
2580, Croup,64.4
2581,Acute upper respiratory infections of multiple or unspecified sites,65
2582, Acute laryngopharyngitis,65.0
2583, Other multiple sites,65.8
2584, Unspecified site,65.9
2585,Acute bronchitis and bronchiolitis,66
2586, Acute bronchitis,66.0
2587, Acute bronchiolitis,66.1
2588,Deflected nasal septum,70
2589,Nasal polyps,71
2590, Polyp of nasal cavity,71.0
2591, Polypoid sinus degeneration,71.1
2592, Other polyp of sinus,71.8
2593, Unspecified,71.9
2594,Chronic pharyngitis and nasopharyngitis,72
2595, Chronic rhinitis,72.0
2596, Chronic pharyngitis,72.1
2597, Chronic nasopharyngitis,72.2
2598,Chronic sinusitis,73
2599, Maxillary,73.0
2600, Frontal,73.1
2601, Ethmoidal,73.2
2602, Sphenoidal,73.3
2603, Other,73.8
2604, Unspecified,73.9
2605,Chronic disease of tonsils and adenoids,74
2606, Chronic tonsillitis,74.0
2607, Hypertrophy of tonsils and adenoids,74.1
2608, Adenoid vegetations,74.2
2609, Other chronic disease of tonsils and adenoids,74.8
2610, Unspecified,74.9
2611,Peritonsillar abscess,75
2612,Chronic laryngitis and laryngotracheitis,76
2613, Chronic laryngitis,76.0
2614, Chronic laryngotracheitis,76.1
2615,Allergic rhinitis,77
2616, Due to pollen,77.0
2617, Due to other allergen,77.8
2618, Cause unspecified,77.9
2619,Other diseases of upper respiratory tract,78
2620, Hypertrophy of nasal turbinates,78.0
2621, Other diseases of nasal cavity and sinuses,78.1
2622," Other diseases of pharynx, not elsewhere classified",78.2
2623, Paralysis of vocal cords or larynx,78.3
2624, Polyp of vocal cord or larynx,78.4
2625, Other diseases of vocal cords,78.5
2626, Edema of larynx,78.6
2627," Other diseases of larynx, not elsewhere classified",78.7
2628," Upper respiratory tract hypersensitivity reaction, site unspecified",78.8
2629, Other and unspecified diseases of upper respiratory tract,78.9
2630,Viral pneumonia,80
2631, Pneumonia due to adenovirus,80.0
2632, Pneumonia due to respiratory syncytial virus,80.1
2633, Pneumonia due to parainfluenza virus,80.2
2634," Pneumonia due to other virus, not elsewhere classified",80.8
2635," Viral pneumonia, unspecified",80.9
2636,Pneumococcal pneumonia,81
2637,Other bacterial pneumonia,82
2638, Pneumonia due to Klebsiella pneumoniae,82.0
2639, Pneumonia due to Pseudomonas,82.1
2640, Pneumonia due to Hemophilus influenzae -H. influenzae,82.2
2641, Pneumonia due to Streptococcus,82.3
2642, Pneumonia due to Staphylococcus,82.4
2643, Pneumonia due to other specified bacteria,82.8
2644," Bacterial pneumonia, unspecified",82.9
2645,Pneumonia due to other specified organism,83
2646,"Bronchopneumonia, organism unspecified",85
2647,"Pneumonia, organism unspecified",86
2648,Influenza,87
2649, With pneumonia,87.0
2650, With other respiratory manifestations,87.1
2651, With other manifestations,87.8
2652,"Bronchitis, not specified as acute or chronic",90
2653,Chronic bronchitis,91
2654, Simple chronic bronchitis,91.0
2655, Mucopurulent chronic bronchitis,91.1
2656, Obstructive chronic bronchitis,91.2
2657, Other chronic bronchitis,91.8
2658, Unspecified,91.9
2659,Emphysema,92
2660,Asthma,93
2661, Extrinsic asthma,93.0
2662, Intrinsic asthma,93.1
2663," Asthma, unspecified",93.9
2664,Bronchiectasis,94
2665,Extrinsic allergic alveolitis,95
2666, Farmers' lung,95.0
2667, Bagassosis,95.1
2668, Bird fanciers' lung,95.2
2669, Suberosis,95.3
2670, Maltworkers' lung,95.4
2671, Mushroom-workers' lung,95.5
2672, Maple-bark-strippers' lung,95.6
2673," ""Ventilation"" pneumonitis",95.7
2674, Other allergic pneumonitis,95.8
2675, Unspecified allergic alveolitis,95.9
2676,"Chronic airways obstruction, not elsewhere classified",96
2677,Coalworkers' pneumoconiosis,00
2678,Asbestosis,01
2679,Pneumoconiosis due to other silica or silicates,02
2680,Pneumoconiosis due to other inorganic dust,03
2681,Pneumopathy due to inhalation of other dust,04
2682,"Pneumoconiosis, unspecified",05
2683,Respiratory conditions due to chemical fumes and vapors,06
2684, Bronchitis and pneumonitis due to fumes and vapors,06.0
2685, Acute pulmonary edema due to fumes and vapors,06.1
2686, Upper respiratory inflammation due to fumes and vapors,06.2
2687, Other acute and subacute respiratory conditions due to fumes and vapors,06.3
2688, Chronic respiratory conditions due to fumes and vapors,06.4
2689, Unspecified,06.9
2690,Pneumonitis due to solids and liquids,07
2691, Due to inhalation of food or vomit,07.0
2692, Due to inhalation of oils and essences,07.1
2693, Other,07.8
2694,Respiratory conditions due to other and unspecified external agents,08
2695, Acute pulmonary manifestations due to radiation,08.0
2696, Chronic and other pulmonary manifestations due to radiation,08.1
2697, Other,08.8
2698, Unspecified,08.9
2699,Empyema,10
2700, With fistula,10.0
2701, Without mention of fistula,10.9
2702,Pleurisy,11
2703, Without mention of effusion or current tuberculosis,11.0
2704, With effusion with mention of a bacterial cause other than tuberculosis,11.1
2705," Other specified forms of effusion, except tuberculous",11.8
2706, Unspecified pleural effusion,11.9
2707,Pneumothorax,12
2708,Abscess of lung and mediastinum,13
2709, Abscess of lung,13.0
2710, Abscess of mediastinum,13.1
2711,Pulmonary congestion and hypostasis,14
2712,Postinflammatory pulmonary fibrosis,15
2713,Other alveolar and parietoalveolar pneumopathy,16
2714, Pulmonary alveolar proteinosis,16.0
2715, Pulmonary alveolar microlithiasis,16.2
2716, Idiopathic fibrosing alveolitis,16.3
2717, Other,16.8
2718, Unspecified,16.9
2719,Other diseases of lung,18
2720, Pulmonary collapse,18.0
2721, Interstitial emphysema,18.1
2722, Compensatory emphysema,18.2
2723, Pulmonary eosinophilia,18.3
2724," Acute edema of lung, unspecified",18.4
